feature,importance_gain
GPC_29_X_X04_PRCP,0.0
GPC_28_X_X10_PRCP,0.0
GPC_3_X_X04_PRCP,0.0
GPC_30_X_X10_PRCP,0.0
GPC_30_X_X09_PRCP,0.0
GPC_30_X_X08_PRCP,0.0
GPC_30_X_X07_PRCP,0.0
GPC_30_X_X06_TAVG,0.0
GPC_30_X_X06_PRCP,0.0
GPC_30_X_X05_TAVG,0.0
GPC_30_X_X05_PRCP,0.0
GPC_30_X_X04_TAVG,0.0
GPC_30_X_X04_PRCP,0.0
GPC_2_X_X10_PRCP,0.0
GPC_2_X_X09_PRCP,0.0
GPC_2_X_X08_PRCP,0.0
GPC_2_X_X07_PRCP,0.0
GPC_2_X_X06_TAVG,0.0
GPC_3_X_X04_TAVG,0.0
GPC_12_X_X07_PRCP,0.0
GPC_12_X_X06_TAVG,0.0
GPC_12_X_X06_PRCP,0.0
GPC_12_X_X05_TAVG,0.0
GPC_12_X_X05_PRCP,0.0
GPC_12_X_X04_TAVG,0.0
GPC_12_X_X04_PRCP,0.0
GPC_11_X_X10_PRCP,0.0
GPC_11_X_X09_PRCP,0.0
GPC_11_X_X08_PRCP,0.0
GPC_11_X_X07_PRCP,0.0
GPC_11_X_X06_TAVG,0.0
GPC_11_X_X06_PRCP,0.0
GPC_11_X_X05_TAVG,0.0
GPC_11_X_X05_PRCP,0.0
GPC_4_X_X08_PRCP,0.0
GPC_4_X_X07_PRCP,0.0
GPC_4_X_X06_TAVG,0.0
GPC_4_X_X06_PRCP,0.0
GPC_4_X_X05_TAVG,0.0
GPC_4_X_X05_PRCP,0.0
GPC_4_X_X04_TAVG,0.0
GPC_4_X_X04_PRCP,0.0
GPC_3_X_X10_PRCP,0.0
GPC_3_X_X09_PRCP,0.0
GPC_3_X_X08_PRCP,0.0
GPC_3_X_X07_PRCP,0.0
GPC_3_X_X06_TAVG,0.0
GPC_3_X_X06_PRCP,0.0
GPC_3_X_X05_TAVG,0.0
GPC_3_X_X05_PRCP,0.0
GPC_6_X_X05_TAVG,0.0
GPC_6_X_X05_PRCP,0.0
GPC_6_X_X04_TAVG,0.0
GPC_6_X_X04_PRCP,0.0
GPC_5_X_X10_PRCP,0.0
GPC_5_X_X09_PRCP,0.0
GPC_5_X_X08_PRCP,0.0
GPC_5_X_X07_PRCP,0.0
GPC_5_X_X06_TAVG,0.0
GPC_5_X_X06_PRCP,0.0
GPC_5_X_X05_TAVG,0.0
GPC_5_X_X05_PRCP,0.0
GPC_5_X_X04_TAVG,0.0
GPC_5_X_X04_PRCP,0.0
GPC_4_X_X10_PRCP,0.0
GPC_4_X_X09_PRCP,0.0
GPC_7_X_X10_PRCP,0.0
GPC_7_X_X09_PRCP,0.0
GPC_7_X_X08_PRCP,0.0
GPC_7_X_X07_PRCP,0.0
GPC_7_X_X06_TAVG,0.0
